trial_index,original_problem_index,correct_indices_1,correct_indices_2,correct_indices_3,response_time,error,within_group,participant_id,group,age,gender,SET_experience,game_frequency,strategy,outlier
1,6,8,11,12,42.7851176999975,5,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
2,3,5,6,8,60.952540300088,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
3,7,2,7,10,181.229123800062,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
5,8,1,7,12,6.68145829997957,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
6,5,1,2,5,10.9484069000464,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
7,1,1,6,10,16.3157650000649,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
9,2,3,4,12,4.77128670003731,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
10,4,9,11,12,30.3774965000339,0,0,P20250605_154120,C,23,female,0,Never (less than once a month),1,0
1,8,1,7,12,230.271809299942,7,0,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
2,3,5,6,8,22.3109650000697,0,0,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
3,6,8,11,12,9.44071830005851,0,1,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
5,7,2,7,10,97.4413677999983,0,0,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
6,5,1,2,5,465.029206199921,9,1,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,1
7,1,1,6,10,23.4041903000325,0,1,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
9,2,3,4,12,23.7457687000278,0,1,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
10,4,9,11,12,36.4863593000919,0,0,P20250605_162740,1,28,male,0,Sometimes (about once a week),1,0
1,6,8,11,12,14.8700182000175,0,0,P20250605_204305,2,25,male,0,Never (less than once a month),1,0
2,3,5,6,8,59.9705374999903,0,1,P20250605_204305,2,25,male,0,Never (less than once a month),1,0
3,7,2,7,10,768.229824899929,1,0,P20250605_204305,2,25,male,0,Never (less than once a month),1,1
5,8,1,7,12,12.5219615000533,0,0,P20250605_204305,2,25,male,0,Never (less than once a month),1,0
6,5,1,2,5,189.220621300046,0,0,P20250605_204305,2,25,male,0,Never (less than once a month),1,0
